Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,RSI,BB_Middle,BB_Upper,BB_Lower,Log_Returns,Buy_Signal,Sell_Signal
2021-11-18,1950.0,1955.0,1560.0,1560.800048828125,1560.800048828125,23955434,,,,,,,,False,False
2021-11-22,1509.0,1519.0,1271.0,1359.5999755859375,1359.5999755859375,25114710,,,,,,,-0.13800802072777513,False,False
2021-11-23,1360.0,1525.0,1360.0,1494.699951171875,1494.699951171875,12954174,,,,,,,0.09473496425909689,False,False
2021-11-24,1503.0,1785.0,1502.949951171875,1752.449951171875,1752.449951171875,21541021,,,,,,,0.15908929584422912,False,False
2021-11-25,1766.699951171875,1873.699951171875,1711.0999755859375,1798.75,1798.75,13018344,,,,,,,0.026077198233088645,False,False
2021-11-26,1760.0,1832.0,1663.0,1782.5999755859375,1782.5999755859375,6527364,,,,,,,-0.009019020200721109,False,False
2021-11-29,1700.0,1810.0,1700.0,1736.449951171875,1736.449951171875,4564112,,,,,,,-0.026230187901026138,False,False
2021-11-30,1729.949951171875,1770.0,1678.199951171875,1699.5999755859375,1699.5999755859375,2200149,,,,,,,-0.021449856223767032,False,False
2021-12-01,1715.0,1725.0,1629.1500244140625,1636.699951171875,1636.699951171875,1294466,,,,,,,-0.03771092519750283,False,False
2021-12-02,1642.0,1671.6500244140625,1592.0,1600.8499755859375,1600.8499755859375,1089716,,,,,,,-0.022147266764698626,False,False
2021-12-03,1615.0,1698.0,1601.0,1648.3499755859375,1648.3499755859375,1322036,,,,,,,0.029240049835968084,False,False
2021-12-06,1658.0,1680.050048828125,1598.699951171875,1604.449951171875,1604.449951171875,632800,,,,,,,-0.026993784474285753,False,False
2021-12-07,1623.3499755859375,1635.0,1571.0,1577.5,1577.5,631249,,,,,,,-0.016939672860175933,False,False
2021-12-08,1590.25,1610.0,1546.25,1553.4000244140625,1553.4000244140625,726491,,,49.62271724985204,,,,-0.015395222713288276,False,False
2021-12-09,1550.0,1644.699951171875,1525.0999755859375,1593.949951171875,1593.949951171875,2849040,,,51.623006234700114,,,,0.02576908889408758,False,False
2021-12-10,1605.0,1609.0,1563.0,1567.550048828125,1567.550048828125,845711,,,62.28366207261862,,,,-0.016701259521860138,False,False
2021-12-13,1578.0,1578.75,1546.0999755859375,1555.050048828125,1555.050048828125,740610,,,54.16868894585936,,,,-0.008006191237363257,False,False
2021-12-14,1547.0,1555.050048828125,1490.75,1496.050048828125,1496.050048828125,1386088,,,25.585605230404,,,,-0.038679396763116915,False,False
2021-12-15,1421.300048828125,1429.949951171875,1296.0,1379.949951171875,1379.949951171875,13139593,,,14.800796976250766,,,,-0.0807811028470073,False,False
2021-12-16,1435.0,1435.0,1390.550048828125,1399.3499755859375,1399.3499755859375,2323522,1589.9049865722657,,17.963716244180674,1589.9049865722657,1842.0469080748283,1337.763065069703,0.01396059440154344,False,False
2021-12-17,1411.0,1411.0,1307.0,1321.0,1321.0,2503637,1577.9149841308595,,17.04608172312544,1577.9149841308595,1857.2267122588316,1298.6032560028873,-0.057618800106037905,False,False
2021-12-20,1321.0,1327.5999755859375,1290.0,1304.0,1304.0,1740923,1575.1349853515626,,17.60032312148148,1575.1349853515626,1864.5208522064354,1285.7491184966898,-0.012952562035727092,False,False
2021-12-21,1306.0,1348.949951171875,1306.0,1311.449951171875,1311.449951171875,995207,1565.9724853515625,,20.700827452491424,1565.9724853515625,1876.8848368844933,1255.0601338186316,0.00569689457624393,False,False
2021-12-22,1348.0999755859375,1350.0,1330.550048828125,1342.199951171875,1342.199951171875,966463,1545.4599853515624,,26.484216311457743,1545.4599853515624,1858.6946805341745,1232.2252901689503,0.023176664282123772,False,False
2021-12-23,1358.449951171875,1385.0,1344.0,1348.800048828125,1348.800048828125,1268283,1522.9624877929687,,20.577549370680146,1522.9624877929687,1823.9948969413601,1221.9300786445772,0.004905322103784701,False,False
2021-12-24,1348.699951171875,1381.0,1331.1500244140625,1369.550048828125,1369.550048828125,1340599,1502.309991455078,,25.828364935791853,1502.309991455078,1784.4225737640666,1220.1974091460895,0.015266909915661448,False,False
2021-12-27,1365.0,1365.3499755859375,1335.300048828125,1344.949951171875,1344.949951171875,717268,1482.7349914550782,,25.953880121436654,1482.7349914550782,1750.402388070912,1215.0675948392445,-0.018125453045448135,False,False
2021-12-28,1350.0,1364.199951171875,1345.0,1353.5,1353.5,1112292,1465.4299926757812,,28.643165355411014,1465.4299926757812,1718.4120886813464,1212.447896670216,0.006337028735391944,False,False
2021-12-29,1353.5,1379.1500244140625,1340.0,1341.550048828125,1341.550048828125,1096725,1450.6724975585937,,21.27903752841314,1450.6724975585937,1695.9035970862244,1205.441398030963,-0.008868131775680613,False,False
2021-12-30,1330.0,1350.0,1325.0999755859375,1327.949951171875,1327.949951171875,806752,1437.0274963378906,,21.91749816150697,1437.0274963378906,1677.3959482272428,1196.6590444485385,-0.010189335323058912,False,False
2021-12-31,1336.0,1347.800048828125,1330.050048828125,1334.550048828125,1334.550048828125,407521,1421.3375,,23.793704579126256,1421.3375,1643.935382651023,1198.7396173489772,0.004957829990976432,False,False
2022-01-03,1335.0,1346.8499755859375,1335.0,1339.800048828125,1339.800048828125,502075,1408.1050048828124,,28.70965896200272,1408.1050048828124,1615.8385589686168,1200.371450797008,0.003926192571912471,False,False
2022-01-04,1350.0,1350.0,1313.0,1317.75,1317.75,1588242,1395.1175048828125,,38.60390946502058,1395.1175048828125,1590.3629372056578,1199.8720725599671,-0.01659464878318901,False,False
2022-01-05,1323.5,1325.699951171875,1285.3499755859375,1288.3499755859375,1288.3499755859375,1731917,1381.8650024414062,,30.38178742794021,1381.8650024414062,1567.624933766334,1196.1050711164785,-0.022563425804841043,False,False
2022-01-06,1287.0,1287.0,1251.0,1254.050048828125,1254.050048828125,1765486,1364.8700073242187,,35.98495805611802,1364.8700073242187,1529.9773804365404,1199.762634211897,-0.026983958187853634,False,False
